tanggal,waktu,content,username,content_final,cluster,sentimen_lexicon,sentimen_kmeans
2025-12-19,16:57:58,Ditarik karna blm lolos BPOM menurut sertifikasi halal dan kesesuaian pangan indo Kenapa dikatakan merusak ginjal? Karna ada ingredients yg over ga sesuai standarisasi makanan indo Jangan apa2 mikirnya pengen persenan doang,,tarik karna blm lolos bpom sertifikasi halal sesuai pangan indo rusak ginjal karna ingredients over sesuai standar makan indo mikirnya ken persen doang,1,Positif,Negatif
2025-12-10,09:33:36,GUYSSSS... untuk kalian yang punya usaha makanan/minuman yang mau didaftarin SERTIFIKASI HALAL boleh bgt pc aku yaaa FREE YAAAA GA DIPUNGUT BIAYAAA‼️‼️,,guyssss usaha makananminuman didaftarin sertifikasi halal bgt yaaa free yaaaa pungut biayaaa,1,Positif,Negatif
2025-12-09,13:56:27,UMKM WAJIB TAHU: Batas Sertifikasi Halal Kian Dekat! Mulai 17 Oktober 2026 produk makanan minuman dan hasil sembelihan usaha mikro dan kecil (UMK) wajib memiliki sertifikat halal! Kenapa ini penting? https://t.co/NStLiW7hRP,,umkm wajib batas sertifikasi halal kian oktober produk makan minum hasil sembelih usaha mikro umk wajib milik sertifikat halal,1,Positif,Negatif
2025-12-07,03:36:07,minimal lu taulah audience indo kek gimana soal makanan. ga ada sertifikasi halal aja udah jadi concern apa lagi jokesnya pake bawa2 daging tikus. ngejokes kek gitu mending keep di circle lu aja ga usah ke publik,,minimal tau audience indo kek gimana makan sertifikasi halal udah concern jokesnya pake bawa daging tikus ngejokes kek gitu mending keep circle publik,1,Positif,Negatif
2025-12-04,10:05:58,@Sentjoko @ChatGPTapp Jepang secara aktif mempromosikan makanan halal untuk menarik wisatawan Muslim seperti melalui sertifikasi halal oleh bisnis lokal demi ekonomi (sumber: https://t.co/ccRQ2RFTRt ResearchGate). Ini bentuk akomodasi sukarela bukan pemaksaan. Namun ada kontroversi seperti keluhan,,jepang aktif promosi makan halal tarik wisatawan muslim sertifikasi halal bisnis lokal ekonomi sumber researchgate bentuk akomodasi sukarela paksa kontroversi keluh,1,Netral,Negatif
2025-12-02,11:23:30,URUS IZIN HALAL MIE INSTAN Ingin mengurus perizinan halal untuk keperluan usaha anda? PT. Konsultan Legal Indo siap membantu anda untuk mengurus Perizinan Sertifikasi Halal seperti produk makanan minuman kosmetik dan baran.. Selengkapnya di https://t.co/cyHKgFdHnl,,urus izin halal mie instan urus izin halal perlu usaha konsultan legal indo bantu urus izin sertifikasi halal produk makan minum kosmetik baran lengkap,1,Positif,Negatif
2025-11-29,03:20:15,Sertifikasi halal memperkuat daya saing industri makanan dan minuman. #ManfaatSertifikatHalal https://t.co/gl5wnjlIMs,,sertifikasi halal kuat daya saing industri makan minum,1,Positif,Negatif
2025-11-29,02:56:52,Memiliki sertifikasi halal artinya kamu tidak perlu ragu lagi saat membeli makanan atau barang jaminan bahwa produk tersebut halal dan aman sesuai standar. #ManfaatSertifikatHalal https://t.co/OzIhx572aX,,milik sertifikasi halal ragu beli makan barang jamin produk halal aman sesuai standar,1,Positif,Negatif
2025-11-27,13:55:03,@grok @yudhomareskha @Valhallaah @PaijoKentirr Terus terang saja sertifikasi halal tujuannya lebih kepada dapat duit hingga rantai makanan pun diharamkan 1 level trus nanti besok2 2 level? 3 level?,,terang sertifikasi halal tuju duit rantai makan haram level trus besok level level,1,Netral,Negatif
2025-11-25,09:44:04,info yang jual usaha makanan belum sertifikasi halal dongg,,info jual usaha makan sertifikasi halal dongg,1,Positif,Negatif
2025-11-25,09:26:44,@halalindonesia_ Dari makanan siap saji sampai bahan kimia semua produk berlomba dapat sertifikasi halal! Cek 10 produk teratas di gambar. #halalindonesia #bpjph l,,makan saji bahan kimia produk lomba sertifikasi halal cek produk atas gambar,1,Positif,Negatif
2025-11-24,10:46:04,Euy infokan penjual makanan minuman jajanan di Bandung dsk yg udah sertifikasi halal. Kalau bisa yg disertifikasi lembaga kredibel. Sok sieun tuang di luar teh dosana gede info dari yg diajarkan ustadz di kajian kalau makan/minum yg gak halal.,,euy info jual makan minum jajan bandung dsk udah sertifikasi halal sertifikasi lembaga kredibel sok sieun tuang teh dosana gede info ajar ustadz kaji makanminum halal,1,Positif,Negatif
